Pod CPU Report

Namespace,Pod Name,CPU Request,CPU Limit,Avg CPU Usage(Cores),Suggested Request,90%tile CPU Usage,90%tile CPU Usage,Max CPU Usage
kube-system,aws-node-f4w8l,0.05,inf,0.007268705546733579,0.007408819034189628,0.007455435419054009,0.007461839913518225,0.007461839913518225
kube-system,ebs-csi-node-m5xf8,0.060000000000000005,inf,0.001069067979869688,0.001138605702699646,0.0011755456962716704,0.0011957502343097844,0.0011957502343097844
kube-system,kube-proxy-7sv2d,0.2,inf,0.0008916313892743359,0.0017416022751522127,0.0027901118305062,0.003928144096714745,0.003928144096714745
lacework,lacework-agent-b8tgh,0.02,inf,0.2715703543707996,0.28769823195818023,0.2980224943349197,0.3066003202458326,0.3066003202458326
spr-apps,lst-story-msg-category-matcher-deployment-7bf7f84788-p664f,2.2,inf,0.5072751276793301,0.6283507173378777,0.7141408106378432,0.7843731391267323,0.7843731391267323
spr-apps,standalone-bmk-collectors-deployment-6c878b8c7b-c4xlw,2.2,inf,0.29142610508293676,0.29934052177657616,0.3031217347155021,0.3089652433383623,0.3113396802730142
spr-apps,standalone-bmk-signal-visual-enrichment-backfill-deploymenhb9j2,2.2,inf,0.06463616454150657,0.07865753500484682,0.09349650058617327,0.12395560940499388,0.12395560940499388
spr-apps,standalone-bmk-static-anomaly-deployment-54db4b9c94-j4df5,2.2,inf,0.14044969217768602,0.16938325337350202,0.1967080802544921,0.26255286883475165,0.26255286883475165
spr-apps,standalone-bmk-txt-enrichment-backfill-deployment-56c5d798dlrsb,4.2,inf,0.06603809394109186,0.08154236040329901,0.09736846819752201,0.132093065338794,0.132093065338794
spr-apps,standalone-enriched-matcher-global-samsung-deployment-6ccblpmsp,4.2,inf,1.4504014065463326,1.5818539880370133,1.627496396170014,1.6367372688880777,1.6367372688880777
spr-apps,standalone-enriched-matcher-global-tier5-v2-deployment-78bmz9dn,3.2,inf,1.5770061558779236,1.7793764641986438,1.9398466026846104,1.945063555397037,1.945063555397037
spr-apps,standalone-firehose-enrichment-logo-consumer-deployment-687vkzb,3.2,inf,0.2265928244045001,0.2340446543102222,0.24126842953658173,0.24669545630419515,0.24669545630419515
spr-apps,standalone-hulk-deep-insigts-pipeline-deployment-6c4944857sbv7b,4.2,inf,0.07122335844547409,0.07432355971408798,0.07882750045874592,0.0817024550942447,0.0817024550942447
spr-apps,standalone-lst-backfill-data-matcher-feed-global-deploymen5cqq5,4.2,inf,0.0839644932201509,0.11620529971882773,0.15491870486506285,0.21210569549008912,0.21210569549008912
spr-apps,standalone-lst-data-feed-global-deployment-5d8fbc5b6b-hz6cl,2.2,inf,1.1145561888863933,1.3253065745605657,1.4967217609231382,1.6538637727605243,1.6538637727605243
spr-apps,standalone-lst-global-engagement-stats-deployment-5958d57c5mjn8,2.2,inf,0.4015831466580092,0.4171360848634782,0.4246494420073541,0.4374127577407265,0.4374127577407265
spr-apps,standalone-lst-task-processor-deployment-d7b9fc9d8-plmpp,4.2,inf,0.26355803826556945,0.2752214635923177,0.2804622758206999,0.28962017988093625,0.28962017988093625
spr-apps,standalone-standalone-audit-deployment-5989fdf474-89r6g,1.2,inf,0.5347100652438763,0.5988487057817533,0.6660648278382671,0.6790263206333356,0.6790263206333356
spr-apps,standalone-standalone-firehose-anomaly-compute-deployment-ck4n6,4.2,inf,0.06499176629699663,0.07895034901409843,0.09258323927059775,0.12407871991904537,0.12407871991904537
spr-apps,standalone-standalone-hulk-backfill-sink-data-rule-deploymz25cx,4.2,inf,0.0592177001771568,0.06224092838820685,0.06584676083675517,0.06935401367538674,0.06935401367538674
spr-apps,standalone-twitter-firehose-webhook-deployment-889cbcb7b-bj8gb,4.2,inf,0.616160452642926,0.6836222346113477,0.7450335623682593,0.7655595140365568,0.7655595140365568
kube-system,aws-node-5ws24,0.05,inf,0.006394952701531168,0.006498037501490067,0.0065365823408762725,0.00657593865365523,0.00657593865365523
kube-system,ebs-csi-node-d7hhz,0.060000000000000005,inf,0.0010533340298198618,0.0011249389485908042,0.0011543457943257362,0.001181682242581044,0.001181682242581044
kube-system,kube-proxy-clr9x,0.2,inf,0.0008377390499777344,0.0016377471889560625,0.0030531718617463205,0.0034363249521150584,0.0034363249521150584
lacework,lacework-agent-cw7nd,0.02,inf,0.20681727297933894,0.22021058021755913,0.22914141043227376,0.2350624951413905,0.2350624951413905
spr-apps,lst-visual-deployment-7b544fbfb9-j8nnv,54.2,inf,1.5800817852760896,1.6151665780396172,1.6449681995241479,1.6454052190666666,1.6454052190666666
spr-apps,lst-visual-video-deployment-854f557d7-2pltl,20.2,inf,8.87441479973045,9.83291530884128,10.046753374390157,10.975337683667334,10.975337683667334
spr-apps,lst-visual-video-deployment-854f557d7-lc5hj,20.2,inf,8.47591727533153,9.658117992266718,10.7326754482282,11.07238167673772,11.07238167673772
spr-apps,lst-visual-video-deployment-854f557d7-tmhps,20.2,inf,8.622603928114902,9.662707671016545,10.688739753144318,11.085276161935141,11.085276161935141
kube-system,aws-node-g5zx5,0.05,inf,0.007526781453942261,0.007783078660689342,0.007942457770183247,0.007990076239222203,0.007990076239222203
kube-system,ebs-csi-node-vvkd8,0.060000000000000005,inf,0.0010725809027234006,0.0011306716887607554,0.0011703370840625553,0.0011800079828380675,0.0011800079828380675
kube-system,kube-proxy-24mwl,0.2,inf,0.000916448386291003,0.0018446021171422112,0.002970602964225986,0.004335321813693983,0.004335321813693983
