Pod Memory Report

Namespace,Pod Name,Memory Request,Memory Limit,Avg Memory Usage,Suggested Request,90%tile Memory Usage,90%tile Memory Usage,Max Memory Usage
monitoring,filebeat-svnt5,3600000000,inf,392085571.147541,409032832.36042714,419680256.0,419680256.0,419680256
kube-system,aws-node-wxt5s,0,inf,551409831.8688525,551913539.7198963,552058880.0,552148992.0,552148992
kube-system,ebs-csi-node-wvbt9,1610612736,inf,103684666.75409836,103973059.3172013,104308736.0,104308736.0,104308736
kube-system,kube-proxy-xr9wj,0,inf,130702419.93442623,131318059.041763,132251648.0,132251648.0,132251648
lacework,lacework-agent-vdgfk,3040870400,inf,1599278365.3770492,1606381058.1300125,1608966144.0,1611649024.0,1611649024
monitoring,filebeat-v4cgm,3600000000,inf,1418909058.0983605,1460818537.4174898,1514688512.0,1514688512.0,1514688512
kube-system,aws-node-pt2hf,0,inf,520317364.4590164,520907548.30358917,521342976.0,521441280.0,521441280
kube-system,ebs-csi-node-rcp8n,1610612736,inf,146790299.27868852,147378630.2395172,147939328.0,148078592.0,148078592
kube-system,kube-proxy-dnlrb,0,inf,158436704.52459016,158971580.63941076,159752192.0,159752192.0,159752192
lacework,lacework-agent-z9jtb,3040870400,inf,1328310171.2786884,1334168445.1000693,1338589184.0,1342947328.0,1342947328
monitoring,filebeat-mvf5q,3600000000,inf,255478867.93442622,257679680.20489857,259555328.0,259555328.0,259555328
kube-system,aws-node-mt9qb,0,inf,464593567.47540987,465515934.83139986,465838080.0,466231296.0,466231296
kube-system,ebs-csi-node-jhcx5,1610612736,inf,142423828.98360655,142773747.8484063,143114240.0,143114240.0,143114240
kube-system,kube-proxy-hc2g4,0,inf,150831842.62295082,151257389.56309375,151707648.0,151707648.0,151707648
lacework,lacework-agent-759c9,3040870400,inf,1244013551.2131147,1248832673.1822028,1249419264.0,1251590144.0,1251590144
monitoring,filebeat-642v4,3600000000,inf,319578984.91803277,338792536.6010446,346152960.0,346152960.0,346152960
kube-system,aws-node-hj24d,0,inf,517153103.73770493,518083521.7443429,519041024.0,519131136.0,519131136
kube-system,ebs-csi-node-mz8ql,1610612736,inf,146293071.73770493,146705986.52627733,147124224.0,147215974.4,147341312
kube-system,kube-proxy-sh2pm,0,inf,163927426.09836066,164477906.69995874,164769792.0,164918886.4,165142528
lacework,lacework-agent-44vgt,3040870400,inf,1308364800.0,1314897831.488136,1321500672.0,1321500672.0,1321500672
monitoring,filebeat-89q4l,3600000000,inf,435711664.26229507,452430892.35399806,464928768.0,464928768.0,464928768
kube-system,aws-node-rtjn8,0,inf,539475027.9344262,539998151.1169839,540192768.0,540192768.0,540192768
kube-system,ebs-csi-node-bwkx4,1610612736,inf,145469305.70491803,145774015.22431463,146137088.0,146137088.0,146137088
lacework,lacework-agent-klqf5,3040870400,inf,1335039899.2786884,1347597305.463991,1351311360.0,1351311360.0,1351311360
monitoring,filebeat-jm5hv,3600000000,inf,402729933.6393443,409946731.43054926,412262400.0,412262400.0,412262400
kube-system,ebs-csi-node-dbhzk,1610612736,inf,104638161.83606558,104939827.40129751,105144320.0,105144320.0,105144320
kube-system,ebs-csi-node-2vjv9,1610612736,inf,54479485.90163934,54616137.050457746,54657024.0,54657024.0,54657024
kube-system,aws-node-rsrfk,0,inf,513708904.91803277,514070449.8107838,514277376.0,514428928.0,514428928
kube-system,ebs-csi-node-7ph76,1610612736,inf,104440345.18032786,104735001.5202706,104972288.0,105013248.0,105013248
kube-system,kube-proxy-xc79r,0,inf,119897574.81967214,120382470.10838856,120705024.0,120747622.4,120811520
lacework,lacework-agent-k2rh4,3040870400,inf,1550239106.0983605,1565999092.797591,1561915392.0,1561915392.0,1561915392
monitoring,filebeat-l2jjs,3600000000,inf,654797236.4590164,668714919.5567775,675577856.0,679428096.0,679428096
kube-system,ebs-csi-node-dfgmr,1610612736,inf,102244352.0,102437756.65949023,102449152.0,102539264.0,102539264
kube-system,aws-node-wfzcv,0,inf,605053733.7704918,605529529.5097831,605696000.0,605696000.0,605696000
kube-system,ebs-csi-node-zvksd,1610612736,inf,102553969.31147541,102806953.13699973,102952960.0,103047168.0,103047168
kube-system,kube-proxy-4zgnp,0,inf,110198179.67213115,110702207.31863125,111190016.0,111190016.0,111190016
lacework,lacework-agent-9dwwf,3040870400,inf,1720344173.1147542,1742803475.1111372,1734942720.0,1734942720.0,1734942720
monitoring,filebeat-mc2q8,3600000000,inf,862872626.3606558,879516976.9353592,892596224.0,892596224.0,892596224
spr-apps,lst-parent-stitching-deployment-5f5448bbd5-fz9fg,18253611008,inf,10023219065.704918,10024231383.899134,10025226240.0,10026254336.0,10026254336
spr-apps,lst-parent-stitching-deployment-5f5448bbd5-mf9cz,18253611008,inf,10083118029.639345,10083642309.053482,10084130816.0,10084581376.0,10084581376
spr-apps,lst-parent-stitching-deployment-5f5448bbd5-zlzln,18253611008,inf,10042209263.213116,10042922895.919704,10043973632.0,10043973632.0,10043973632
kube-system,aws-node-mm2sl,0,inf,527274521.1803279,527902753.97388536,528379904.0,528699392.0,528699392
kube-system,ebs-csi-node-2dqb4,1610612736,inf,104348621.63934426,104644570.89236116,104710144.0,104833024.0,104833024
kube-system,kube-proxy-62pnd,0,inf,124518198.55737706,125004037.47050501,125640704.0,125640704.0,125640704
lacework,lacework-agent-sbjzl,3040870400,inf,1421229677.1147542,1432815813.1315975,1432928256.0,1433657344.0,1433657344
monitoring,filebeat-qwq75,3600000000,inf,684598188.0655738,701070747.94238,707784704.0,713785344.0,713785344
kube-system,aws-node-vwbgg,0,inf,385518877.3770492,385904083.2634444,386039808.0,386318336.0,386318336
kube-system,ebs-csi-node-8m9cr,1610612736,inf,99366609.83606558,99670562.71407099,99831808.0,100036608.0,100036608
kube-system,kube-proxy-8c996,0,inf,94802322.8852459,95181790.78073053,95313920.0,95567872.0,95567872
lacework,lacework-agent-wqqpq,3040870400,inf,1421542181.7704918,1430310380.5161548,1442992128.0,1443074048.0,1443196928
monitoring,filebeat-n474w,3600000000,inf,415975726.1639344,428323832.85321987,436273152.0,447606784.0,447606784
kube-system,aws-node-79qz8,0,inf,320467845.12,366846758.65212166,340060979.2,345726976.0,345726976
kube-system,ebs-csi-node-98lwl,1610612736,inf,74971256.47058824,89588053.15139197,84844544.0,84852736.0,84852736
kube-system,kube-proxy-22zll,0,inf,68033756.86274509,77072754.38920572,75057152.0,75079680.0,75079680
lacework,lacework-agent-8qc78,3040870400,inf,468034027.52,495749115.2706697,503184998.3999999,513466368.0,513466368
monitoring,filebeat-xshsr,3600000000,inf,274062315.92156863,378797119.40446496,427862016.0,428859392.0,428859392
spr-apps,standalone-enriched-firehose-matcher-self-serve-deployment8b6xg,129922760704,inf,32524824219.826088,46982206215.94549,45319315456.0,45319315456.0,45319315456
spr-apps,standalone-enriched-firehose-matcher-self-serve-deployment8qrqk,129922760704,inf,27153598196.869564,40395514450.48561,40665878528.0,40665878528.0,40665878528
spr-apps,standalone-lst-backfill-data-matcher-feed-dedicated1-deploxj7x8,34896609280,inf,12888066925.714285,17336459225.304325,15599747072.0,15599747072.0,15599747072
spr-apps,standalone-standalone-anomaly-match-deployment-75cf87944-wx985,258771779584,inf,77992321782.51852,128608358199.82193,132260937728.0,132260937728.0,132260937728
kube-system,aws-node-kqjp8,0,inf,349124775.86885244,349503240.9299555,349798400.0,349798400.0,349798400
kube-system,ebs-csi-node-gxxlx,1610612736,inf,78898494.95081967,79192480.78784262,79556608.0,79556608.0,79556608
kube-system,kube-proxy-qcm59,0,inf,65441389.114754096,65776796.00070697,66007040.0,66007040.0,66007040
lacework,lacework-agent-25pzl,3040870400,inf,571875663.7377049,585176384.441844,586153984.0,586153984.0,586153984
monitoring,filebeat-pv99w,3600000000,inf,514896073.44262296,530537751.770125,543285248.0,572289024.0,572289024
kube-system,ebs-csi-node-4hvnf,1610612736,inf,98864279.08196722,99127603.48012017,99389440.0,99389440.0,99389440
kube-system,aws-node-9p7vx,0,inf,323605688.6557377,324520321.3726489,324755456.0,324866048.0,324866048
kube-system,ebs-csi-node-kd99p,1610612736,inf,77296958.95081967,77552379.63573709,77733888.0,77987840.0,77987840
kube-system,kube-proxy-9m9gs,0,inf,62656041.96721312,62981199.27381501,63221760.0,63291392.0,63291392
lacework,lacework-agent-rxkf2,3040870400,inf,542920838.295082,546139174.472035,546709504.0,547512320.0,547512320
monitoring,filebeat-jnwzf,3600000000,inf,910882178.0983607,919639140.4748219,932032512.0,932032512.0,932032512
kube-system,aws-node-lcvgp,0,inf,326212194.80701756,337059707.21517503,362553344.0,362553344.0,362553344
kube-system,ebs-csi-node-5bhnd,1610612736,inf,80623508.21052632,86920448.2064077,87367680.0,87371284.48,87375872
kube-system,kube-proxy-gq9zp,0,inf,68886743.57894737,73591494.60751666,73506816.0,74332241.92,75382784
lacework,lacework-agent-gvg47,3040870400,inf,481288263.8596491,491716781.0839087,498696192.0,498696192.0,498696192
monitoring,filebeat-k27t8,3600000000,inf,369042773.3333333,441609978.0623181,462561280.0,462561280.0,462561280
spr-apps,standalone-enriched-firehose-matcher-self-serve-deploymentcvdjr,129922760704,inf,47537736666.07407,75706557973.23059,73144537088.0,73144537088.0,73144537088
spr-apps,standalone-lst-backfill-data-matcher-feed-dedicated1-deplokj42j,34896609280,inf,7527574042.947369,13522649592.110863,16905158656.0,16905158656.0,16905158656
spr-apps,standalone-lst-engagement-stats-processor-int-deployment-ffc4xh,32749125632,inf,12555284480.0,19892883025.03896,17795084288.0,17795084288.0,17795084288
kube-system,aws-node-tc7bx,0,inf,396430487.08196723,396889135.5211758,396906496.0,397369344.0,397369344
kube-system,ebs-csi-node-4twbq,1610612736,inf,98736363.01639344,98964621.50508572,99115008.0,99123200.0,99123200
kube-system,kube-proxy-5c9dj,0,inf,94011526.29508197,94486864.6786612,95059968.0,95059968.0,95059968
lacework,lacework-agent-6zgnh,3040870400,inf,801964300.590164,812756062.0580813,823726080.0,823726080.0,823726080
monitoring,filebeat-hlrxn,3600000000,inf,1606714216.918033,1675674214.5500093,1694355456.0,1698873344.0,1698873344
spr-apps,standalone-lst-engagement-stats-processor-tier1-deploymenthrrkz,65498251264,inf,29360364117.333332,42830701958.998344,41684171366.4,41909334016.0,41909334016
kube-system,aws-node-rzkqm,0,inf,437845545.9672131,438314055.7377623,438583296.0,438804480.0,438804480
kube-system,ebs-csi-node-5dc8h,1610612736,inf,100342062.16393442,100709537.10365473,100909056.0,100958208.0,100958208
kube-system,kube-proxy-ncf7t,0,inf,102150815.47540984,102639868.37305942,103366656.0,103366656.0,103366656
lacework,lacework-agent-crwwq,3040870400,inf,1282239773.3770492,1295210906.832181,1312976896.0,1330585600.0,1330585600
kube-system,aws-node-52gnp,0,inf,496002366.9508197,496414580.54476655,496922624.0,496922624.0,496922624
kube-system,ebs-csi-node-gf4zs,1610612736,inf,102210039.60655738,102525124.84600577,103014400.0,103014400.0,103014400
kube-system,kube-proxy-brp9z,0,inf,111868474.75409836,112452288.17397177,113213440.0,113213440.0,113213440
lacework,lacework-agent-x8vdg,3040870400,inf,1607442767.737705,1623017570.9846833,1632137216.0,1632137216.0,1632137216
monitoring,filebeat-nkmwr,3600000000,inf,999608454.295082,1018973503.2375147,1036853248.0,1036853248.0,1036853248
kube-system,ebs-csi-node-5p67l,1610612736,inf,103904104.91803278,104200261.2166666,104316928.0,104316928.0,104316928
kube-system,aws-node-f2bmj,0,inf,449634841.1803279,449947685.0293732,450093056.0,450383872.0,450383872
kube-system,ebs-csi-node-k6694,1610612736,inf,101073634.62295082,101431054.14915861,101621760.0,101657804.8,101711872
kube-system,kube-proxy-769xn,0,inf,101678768.26229508,102039836.56352417,102252544.0,102298419.2,102367232
lacework,lacework-agent-c8tjp,3040870400,inf,1418317353.9672132,1424389484.7791831,1430011904.0,1430011904.0,1430011904
monitoring,filebeat-x4g9l,3600000000,inf,929625876.9836066,947461235.3347107,968114176.0,968114176.0,968114176
kube-system,aws-node-t2g24,0,inf,417763730.8852459,418135952.4333982,418316288.0,418316288.0,418316288
kube-system,ebs-csi-node-qhd4j,1610612736,inf,101801245.37704918,102095874.22666974,102547456.0,102547456.0,102547456
kube-system,kube-proxy-bjvww,0,inf,117464819.40983607,117816483.4284613,117997568.0,118292480.0,118292480
lacework,lacework-agent-k4pbs,3040870400,inf,1546218579.9344263,1576485178.109973,1565589504.0,1565589504.0,1565589504
monitoring,filebeat-js77p,3600000000,inf,883199127.0819672,903476978.2910068,910561280.0,915959808.0,915959808
kube-system,aws-node-9tjvw,0,inf,552180685.6393442,553096182.6905576,553992192.0,554401792.0,554401792
kube-system,ebs-csi-node-cnl56,1610612736,inf,147747151.73770493,148231929.84606427,148598784.0,148690534.4,148828160
kube-system,kube-proxy-rvfhr,0,inf,177194504.39344263,177979297.7668138,178401280.0,178561024.0,178561024
lacework,lacework-agent-9jg86,3040870400,inf,1304167541.5081968,1309924807.0008914,1311997952.0,1319444480.0,1319444480
monitoring,filebeat-4d7dn,3600000000,inf,252633826.62295082,257417349.39062586,258162688.0,260014080.0,260014080
kube-system,aws-node-fznjh,0,inf,475671031.60655737,476376884.7083473,477794304.0,477794304.0,477794304
kube-system,ebs-csi-node-k2ck5,1610612736,inf,143268343.60655737,143637276.40277457,143851520.0,143925248.0,143925248
kube-system,kube-proxy-sltb9,0,inf,154562224.26229507,155081836.63762003,155529216.0,155529216.0,155529216
lacework,lacework-agent-5gvjc,3040870400,inf,1251514737.3114755,1257998054.8427184,1263099904.0,1263099904.0,1263099904
monitoring,filebeat-5rdjq,3600000000,inf,364591741.90163934,371524517.0407036,377409536.0,377409536.0,377409536
kube-system,aws-node-j26mg,0,inf,489578966.0327869,489890801.4993134,490352640.0,490352640.0,490352640
kube-system,ebs-csi-node-8fc6v,1610612736,inf,104685366.55737706,104951987.97489339,105222144.0,105222144.0,105222144
kube-system,kube-proxy-w4fq7,0,inf,130852561.83606558,131443325.86754914,132268032.0,132268032.0,132268032
lacework,lacework-agent-xr9b4,3040870400,inf,1535005074.8852458,1560372918.5327232,1560363008.0,1560363008.0,1560363008
kube-system,aws-node-ht4lp,0,inf,498411822.1639344,499666760.28721106,501641216.0,501641216.0,501641216
kube-system,ebs-csi-node-chnns,1610612736,inf,144062161.83606556,144422492.25782245,144572416.0,144629760.0,144715776
kube-system,kube-proxy-9hq4z,0,inf,154722639.73770493,155460177.7007851,156602368.0,156602368.0,156602368
lacework,lacework-agent-d8vwb,3040870400,inf,1271640668.327869,1277479206.154595,1278316544.0,1283260416.0,1283260416
monitoring,filebeat-8xl7p,3600000000,inf,291267500.06557375,295097582.57683444,300089344.0,300089344.0,300089344
kube-system,ebs-csi-node-sf7r2,1610612736,inf,145959281.3114754,146362697.02662045,146956288.0,146956288.0,146956288
kube-system,aws-node-fdhms,0,inf,538682015.4754099,539274494.0908009,539529216.0,539590656.0,539590656
kube-system,ebs-csi-node-g7tn9,1610612736,inf,144877803.01639345,145277341.53729954,145625088.0,145711104.0,145711104
kube-system,kube-proxy-t4v9w,0,inf,166597749.5081967,167295799.37759236,168017920.0,168562688.0,168562688
lacework,lacework-agent-nw2l6,3040870400,inf,1307026549.5081968,1320835568.0755904,1324056576.0,1324646400.0,1325531136
monitoring,filebeat-g85rr,3600000000,inf,574301301.5081967,579432492.6094042,584638464.0,584638464.0,584638464
kube-system,ebs-csi-node-flmjh,1610612736,inf,105599177.44262294,105828843.91163345,105938944.0,105938944.0,105938944
kube-system,ebs-csi-node-27bfc,1610612736,inf,102776563.40983607,103104146.00344595,103464960.0,103464960.0,103464960
kube-system,kube-proxy-zp5n2,0,inf,113924935.3442623,114278547.19730736,114511872.0,114511872.0,114511872
lacework,lacework-agent-hnq69,3040870400,inf,1646023327.4754097,1649481135.1736763,1653223424.0,1653223424.0,1653223424
spr-apps,standalone-firehose-enrichment-logo-consumer-deployment-682rklv,63350767616,inf,41764536051.409836,41765991428.065445,41765588992.0,41765588992.0,41765588992
spr-apps,standalone-standalone-audit-deployment-5989fdf474-7sp8j,39728447488,inf,24098378668.065575,24102254156.02217,24099700736.0,24112689152.0,24112689152
kube-system,ebs-csi-node-jts2f,1610612736,inf,101644455.86885247,102200111.4318097,102899712.0,102899712.0,102899712
kube-system,aws-node-v7jq7,0,inf,452239695.73770493,452539273.917503,452562944.0,452562944.0,452562944
kube-system,ebs-csi-node-txdgx,1610612736,inf,101612292.19672132,102006093.39041542,102735872.0,102735872.0,102735872
kube-system,kube-proxy-94g9t,0,inf,101981267.93442623,102538230.75942074,103464960.0,103464960.0,103464960
lacework,lacework-agent-5lgzm,3040870400,inf,1479214197.5081968,1500179827.2427468,1496940544.0,1496940544.0,1496940544
monitoring,filebeat-xkvfn,3600000000,inf,1564799916.0655737,1589849973.2302537,1611227136.0,1611227136.0,1611227136
kube-system,aws-node-fwh7z,0,inf,476046789.24590164,476542291.8497743,476680192.0,476686745.6,476696576
kube-system,ebs-csi-node-7xkq9,1610612736,inf,101891894.55737706,102236112.46934797,102371328.0,102371328.0,102371328
kube-system,kube-proxy-xwlzz,0,inf,103269627.80327868,103536396.1262262,103833600.0,103833600.0,103833600
lacework,lacework-agent-tz5fx,3040870400,inf,1460523746.6229508,1469058240.1652539,1474641920.0,1475342336.0,1475342336
monitoring,filebeat-8h5zn,3600000000,inf,637474849.5737705,665280511.0016924,696057856.0,696057856.0,696057856
kube-system,aws-node-snhtj,0,inf,403519521.57377046,403846172.22192025,403976192.0,403976192.0,403976192
kube-system,ebs-csi-node-vkmlc,1610612736,inf,103398953.96721311,103697368.57907575,103972864.0,104185856.0,104185856
kube-system,kube-proxy-2wv87,0,inf,112691972.19672132,113294123.4561975,113758208.0,113844224.0,113844224
lacework,lacework-agent-wwd9k,3040870400,inf,1644360485.7704918,1661045588.197453,1673478144.0,1702715392.0,1702715392
spr-apps,lst-web-facebook-engagement-stats-deployment-545b69c556-vk9lj,54760833024,inf,36233510374.81967,36233713617.16118,36233699328.0,36233748480.0,36233748480
spr-apps,standalone-firehose-enrichment-logo-consumer-deployment-686m77q,63350767616,inf,41542961051.27869,41551978381.358864,41557450752.0,41561178112.0,41566769152
spr-apps,standalone-standalone-user-activity-deployment-647868dd9-lkj4m,39728447488,inf,23682320887.606556,23682417014.725574,23682482176.0,23682482176.0,23682482176
kube-system,aws-node-vgnf8,0,inf,371215511.08196723,372731156.56100833,373579776.0,373579776.0,373579776
kube-system,ebs-csi-node-7qqs9,1610612736,inf,98631277.1147541,98976649.27063015,99229696.0,99491840.0,99491840
kube-system,kube-proxy-xrdwp,0,inf,88660874.49180327,89282115.02071604,90505216.0,90505216.0,90505216
lacework,lacework-agent-c2nrh,3040870400,inf,780254896.2622951,784760603.1477039,786198528.0,786198528.0,786198528
monitoring,filebeat-jlxmb,3600000000,inf,1312362831.737705,1570523009.8177953,1669230592.0,1805824000.0,1805824000
spr-apps,standalone-lst-backfill-data-matcher-feed-global-deploymendx2nt,69793218560,inf,41416283119.21311,45711539941.00527,44374949888.0,44374974464.0,44374974464
spr-apps,standalone-lst-intel-data-deployment-68877859f5-l7jmf,50465865728,inf,33546521952.52459,33567413065.79695,33559379968.0,33560522752.0,33560522752
spr-apps,standalone-lst-ml-internal-deployment-679cc6b454-57mq8,61203283968,inf,25060171190.857143,27763642341.91378,26913124352.0,26913124352.0,26913124352
spr-apps,standalone-lst-ml-samsung-dedicated-deployment-64dbb4fbf4-54m7v,44023414784,inf,18913638229.333332,28418641839.110195,26507182080.0,26507182080.0,26507182080
spr-apps,standalone-lst-ml-samsung-dedicated-deployment-64dbb4fbf4-mfqnv,44023414784,inf,11915517132.8,16427999642.275757,15708946432.0,15708946432.0,15708946432
spr-apps,standalone-lst-ml-samsung-dedicated-deployment-64dbb4fbf4-sqjvv,44023414784,inf,9678526008.88889,13290660756.637959,12744863744.0,12744863744.0,12744863744
spr-apps,standalone-lst-ml-tier1-deployment-5c587d6bb7-xbjg2,74088185856,inf,13510166438.956522,22601827832.100002,21191176192.0,21191176192.0,21191176192
spr-apps,standalone-lst-ml-tier3-deployment-f5d97dc4f-fmfkg,65498251264,inf,39923476110.68852,40691922319.56365,40232914944.0,40273838080.0,40273838080
spr-apps,standalone-standalone-anomaly-aggregate-deployment-5ffd65c2cn28,65498251264,inf,30534835485.37705,30541645755.1585,30537744384.0,30538358784.0,30538358784
spr-apps,standalone-standalone-audit-deployment-5989fdf474-7glbb,39728447488,inf,20912504832.0,20913350504.080627,20913430528.0,20913750016.0,20913750016
spr-apps,standalone-standalone-hulk-backfill-sink-listening-deploymfdl6j,61203283968,inf,15608983324.444445,22654355644.79612,21467267072.0,21467267072.0,21467267072
kube-system,aws-node-qn8m9,0,inf,563514586.2295082,564571986.3854814,567107584.0,567107584.0,567107584
kube-system,ebs-csi-node-hprhn,1610612736,inf,100233753.18032786,100481155.73439859,100622336.0,100737024.0,100737024
kube-system,kube-proxy-h7hth,0,inf,111171348.98360656,111607640.29933931,111984640.0,111984640.0,111984640
lacework,lacework-agent-6qxmh,3040870400,inf,1669879975.8688524,1671836208.1410735,1673388032.0,1673388032.0,1673388032
monitoring,filebeat-jhq8d,3600000000,inf,1331391034.7540984,1365507251.8359706,1415884800.0,1415884800.0,1415884800
spr-apps,standalone-backfill-matcher-split-consumer-deployment-5b58gzj86,86973087744,inf,38014352535.08197,38049113243.48706,38056878080.0,38073335808.0,38073335808
spr-apps,standalone-firehose-enrichment-logo-consumer-deployment-68wnn6s,63350767616,inf,41663402386.88525,41673941929.880295,41681575936.0,41681575936.0,41681575936
kube-system,aws-node-vx8gg,0,inf,456035881.9672131,456494972.79727596,456519680.0,457363456.0,457363456
kube-system,ebs-csi-node-84wmd,1610612736,inf,103473286.29508197,103849796.83509023,104120320.0,104349696.0,104595456
kube-system,kube-proxy-nx6hk,0,inf,113341288.91803278,113896277.07487766,114794496.0,114794496.0,114794496
lacework,lacework-agent-b4tmf,3040870400,inf,1729984075.5409837,1750283838.4865456,1768472576.0,1814454272.0,1814454272
monitoring,filebeat-wlm6l,3600000000,inf,790119877.2459016,824686754.0918642,821129216.0,830902272.0,830902272
spr-apps,standalone-lst-theme-alert-track-delayed-amazon-deploymentp5mkg,26843545600,inf,16765533402.229507,16780080611.053703,16789757952.0,16794099712.0,16794099712
spr-apps,standalone-standalone-audit-deployment-5989fdf474-68nlp,39728447488,inf,24240928130.098362,24241323239.414204,24241389568.0,24241389568.0,24241389568
kube-system,aws-node-v4rlv,0,inf,325041840.26229507,326999703.3112524,327311360.0,327311360.0,327311360
kube-system,ebs-csi-node-l6sbc,1610612736,inf,81646172.32786885,86153020.18368189,87085056.0,87085056.0,87085056
kube-system,kube-proxy-2v9jm,0,inf,69699214.68852459,73899463.5007105,74874880.0,74874880.0,74874880
lacework,lacework-agent-gpfpk,3040870400,inf,462767087.21311474,479345460.0484836,493707264.0,493707264.0,493707264
spr-apps,standalone-standalone-lst-plugin-feed-historic-deployment-z2ngz,172872433664,inf,60676509763.14754,99734226085.664,125417562112.0,125417562112.0,125417562112
kube-system,aws-node-vmj8c,0,inf,586187893.5081967,586570922.5343262,587075584.0,587075584.0,587075584
kube-system,ebs-csi-node-8ll8h,1610612736,inf,101590133.50819673,101877300.92129895,102031360.0,102031360.0,102031360
kube-system,kube-proxy-665qr,0,inf,110995086.68852459,111586254.28509112,111550464.0,112803840.0,112803840
lacework,lacework-agent-tqctc,3040870400,inf,1706396218.7540984,1713883988.5554173,1713606656.0,1723981824.0,1723981824
monitoring,filebeat-rwtd2,3600000000,inf,2017307261.9016395,2049221346.9183183,2061828096.0,2075820032.0,2075820032
kube-system,aws-node-g6z97,0,inf,382645029.7704918,383397493.2575827,384995328.0,385011712.0,385011712
kube-system,ebs-csi-node-lnqfv,1610612736,inf,97082653.37704918,97281488.0683575,97370112.0,97476608.0,97476608
kube-system,kube-proxy-mgknq,0,inf,90104143.73770492,90643512.08025281,90996736.0,90996736.0,90996736
lacework,lacework-agent-9qlqb,3040870400,inf,865015035.8032787,872180714.9671413,873066496.0,884088832.0,884088832
monitoring,filebeat-ndw86,3600000000,inf,996027543.0819672,1087332755.9886649,1172639744.0,1172639744.0,1172639744
spr-apps,lst-story-msg-category-matcher-deployment-7bf7f84788-kwbp4,35433480192,inf,11721126632.727272,18733376867.086407,21954768896.0,21954768896.0,21954768896
spr-apps,standalone-lst-ml-firehose-deployment-5c4b874895-kcmsw,56908316672,inf,15045803056.761906,20150942654.74559,18666614784.0,18675602759.68,18677764096
spr-apps,standalone-lst-ml-samsung-dedicated-deployment-64dbb4fbf4-l5mgp,44023414784,inf,10060927698.82353,15589391045.77722,15746579660.8,16180871004.16,16289443840
spr-apps,standalone-lst-ml-tier3-deployment-f5d97dc4f-jsjhq,65498251264,inf,34959970035.409836,36290640572.43835,35858980864.0,36077750681.6,36171481088
kube-system,ebs-csi-node-g6h5f,1610612736,inf,104171889.31147541,104450972.3056906,104620032.0,104620032.0,104620032
kube-system,aws-node-zqx6c,0,inf,560903084.0655738,638178083.0920855,597475328.0,597475328.0,597475328
kube-system,ebs-csi-node-h6wdz,1610612736,inf,103439913.96721311,103775962.49701846,104062976.0,104275968.0,104275968
kube-system,kube-proxy-tp654,0,inf,108850192.78688525,109316479.20073998,109584384.0,109584384.0,109584384
lacework,lacework-agent-8wd67,3040870400,inf,1661032884.4590163,1667832004.2169158,1676107776.0,1678532608.0,1678532608
monitoring,filebeat-jflcx,3600000000,inf,2265253451.5409837,2279901784.777289,2299510784.0,2299510784.0,2299510784
spr-apps,standalone-bmk-signal-visual-enrichment-backfill-deploymengqvnw,61203283968,inf,36412062199.60656,36420608364.93442,36421607424.0,36422418432.0,36422418432
spr-apps,standalone-lst-theme-alert-track-delayed-deployment-794c9fzvskn,35433480192,inf,22948942226.885246,22961485747.643085,22968852480.0,22968852480.0,22968852480
spr-apps,standalone-standalone-audit-deployment-5989fdf474-rf8pz,39728447488,inf,23891594256.786884,24046283013.36826,23932354560.0,23937007616.0,23937007616
kube-system,aws-node-8kgrq,0,inf,380437084.3278689,380828164.6336628,380940288.0,380940288.0,380940288
kube-system,ebs-csi-node-9qjxj,1610612736,inf,99329208.6557377,99548329.14431593,99700736.0,99700736.0,99700736
kube-system,kube-proxy-dqmm2,0,inf,97115219.93442623,97629987.02927437,98115584.0,98115584.0,98115584
lacework,lacework-agent-nrdqg,3040870400,inf,780902668.590164,797618074.9134421,793755648.0,798179328.0,798179328
monitoring,filebeat-gvmfm,3600000000,inf,1287356348.852459,1328878809.1011436,1356513280.0,1356513280.0,1356513280
kube-system,aws-node-z7l5k,0,inf,433232039.86885244,433807653.734823,434028544.0,434035097.6,434044928
kube-system,ebs-csi-node-6hs69,1610612736,inf,102123822.16393442,102370674.79951614,102547456.0,102547456.0,102547456
kube-system,kube-proxy-x22qp,0,inf,113545820.32786885,113897908.6663646,114081792.0,114130944.0,114130944
lacework,lacework-agent-9kvbg,3040870400,inf,1792381532.327869,1802981016.896765,1822937088.0,1822937088.0,1822937088
spr-apps,standalone-firehose-enrichment-logo-consumer-deployment-68tfmgf,63350767616,inf,41669045466.22951,41698716261.72301,41720225792.0,41721831424.0,41721831424
spr-apps,standalone-lst-ml-tier3-deployment-f5d97dc4f-js5mc,65498251264,inf,42317303942.29508,42317539063.597534,42317692928.0,42317743718.4,42317819904
spr-apps,standalone-prod-alert-track-deployment-8cd875746-nfvm5,26843545600,inf,16750649209.704918,16755307842.259869,16754212864.0,16754245632.0,16754245632
spr-apps,standalone-standalone-user-activity-deployment-647868dd9-xx4d7,39728447488,inf,24148761482.491802,24159153837.89594,24156766208.0,24156864512.0,24156864512
spr-apps,standalone-lst-ml-tier1-deployment-5c587d6bb7-vcmpm,74088185856,inf,13257678392.88889,19469771916.966522,18639671296.0,18639671296.0,18639671296
