Pod Memory Report

Namespace,Pod Name,Memory Request,Memory Limit,Avg Memory Usage,Suggested Request,90%tile Memory Usage,90%tile Memory Usage,Max Memory Usage
kube-system,kube-proxy-p6hj7,0,inf,167717971.93442622,168484148.9234448,169431040.0,169431040.0,169431040
lacework,lacework-agent-ngm4w,3040870400,inf,1653791827.9344263,1655962147.9974194,1657020416.0,1657269452.8,1657643008
monitoring,filebeat-gtjjq,3600000000,inf,2118688230.819672,2137662941.9332201,2153078784.0,2156978176.0,2156978176
kube-system,aws-node-6zbt9,0,inf,382979558.8196721,384643520.10263824,386928640.0,386928640.0,386928640
kube-system,ebs-csi-node-p5lzw,1610612736,inf,138449903.21311477,138901342.7809324,139059200.0,139082137.6,139116544
kube-system,kube-proxy-msnt2,0,inf,125519704.13114753,126404883.30272776,127148032.0,127148032.0,127148032
lacework,lacework-agent-w7hjn,3040870400,inf,868525643.5409836,881692455.6570132,883273728.0,883273728.0,883273728
monitoring,filebeat-wlxhz,3600000000,inf,794016583.3442622,806534480.4999168,815755264.0,815755264.0,815755264
spr-apps,lst-visual-video-deployment-854f557d7-59kh6,41875931136,inf,23943026483.2,24633525977.531734,24211140608.0,24211140608.0,24211140608
spr-apps,lst-visual-video-deployment-854f557d7-8hq9l,41875931136,inf,24944547470.688526,25105293532.78872,25280442368.0,25280442368.0,25280442368
spr-apps,lst-visual-video-deployment-854f557d7-h89lk,41875931136,inf,25002493784.13115,25210560129.503883,25594408960.0,25594408960.0,25594408960
kube-system,ebs-csi-node-5dx2v,1610612736,inf,104717328.78688525,105089009.77841127,105406464.0,105406464.0,105406464
kube-system,aws-node-xrmcd,0,inf,470742267.8032787,471080730.2252838,471306240.0,471306240.0,471306240
kube-system,ebs-csi-node-k2ldv,1610612736,inf,54279923.40983607,54439292.148046695,54525952.0,54525952.0,54525952
kube-system,kube-proxy-hw86k,0,inf,51369346.09836066,51513011.7734142,51757056.0,51757056.0,51757056
lacework,lacework-agent-94c9q,3040870400,inf,1202260605.9016395,1211768355.5557065,1236328448.0,1236328448.0,1236328448
monitoring,filebeat-6p62r,3600000000,inf,194806901.5081967,197878465.31067702,199499776.0,200036352.0,200036352
monitoring,prometheus-node-exporter-s45bx,125829120,inf,38646968.655737706,38660540.04700375,38666240.0,38666240.0,38666240
ingress-nginx-crossenv,nginx-ingress-crossenv-controller-5d9b4dc74-wgj6t,0,inf,336469747.40983605,343396428.72595525,350109696.0,352477184.0,352477184
ingress-nginx-external,nginx-ingress-external-controller-59b466bb54-f7bgt,0,inf,391715185.3114754,393705341.80327713,396881920.0,396881920.0,396881920
ingress-nginx-external,nginx-ingress-external-controller-59b466bb54-k7s8p,0,inf,393313095.3442623,395192090.1752579,398684160.0,398684160.0,398684160
ingress-nginx-internal,nginx-ingress-internal-controller-645c7b5dd-9bznx,0,inf,418750531.147541,426121834.45724076,433000448.0,433000448.0,433000448
ingress-nginx-internal,nginx-ingress-internal-controller-645c7b5dd-bdjbn,0,inf,416466910.42622954,423116900.9870651,429137920.0,429137920.0,429137920
ingress-nginx-internal,nginx-ingress-internal-controller-645c7b5dd-d426h,0,inf,418302992.78688526,425724228.69286495,429993984.0,436969472.0,436969472
ingress-nginx-internal,nginx-ingress-internal-controller-645c7b5dd-k76zh,0,inf,417508503.08196723,425794921.31615996,436420608.0,436420608.0,436420608
ingress-nginx-office,nginx-ingress-office-controller-5b88dbd756-4qnxh,0,inf,264115586.09836066,265903820.2791734,266960896.0,266960896.0,266960896
ingress-nginx-office,nginx-ingress-office-controller-5b88dbd756-tlw68,0,inf,264990317.1147541,266463824.6179923,267206656.0,267206656.0,267206656
kube-system,aws-node-99vl6,0,inf,418125588.9836066,418794098.148131,420216832.0,420216832.0,420216832
kube-system,ebs-csi-controller-55b9574fb-5p8hg,3221225472,inf,118949349.05263157,149791907.66909435,133234688.0,133234688.0,133234688
kube-system,ebs-csi-controller-55b9574fb-tg6js,3221225472,inf,107055104.0,136075724.3169891,120254464.0,120254464.0,120254464
kube-system,ebs-csi-node-mzwkl,1610612736,inf,52644075.016393445,52917914.92810504,53149696.0,53149696.0,53149696
kube-system,kube-proxy-wxgq9,0,inf,49391515.27868853,49843057.004972756,50339840.0,50348032.0,50348032
lacework,lacework-agent-6ds75,3040870400,inf,1548073127.8688524,1556390330.07658,1560100864.0,1560100864.0,1560100864
ingress-nginx-crossenv,nginx-ingress-crossenv-controller-5d9b4dc74-qqgdx,0,inf,338853485.1147541,355353647.9292385,381624320.0,381624320.0,381624320
ingress-nginx-crossenv,nginx-ingress-crossenv-controller-5d9b4dc74-xjzr5,0,inf,335753014.55737704,343923882.6762861,359919616.0,359919616.0,359919616
ingress-nginx-external,nginx-ingress-external-controller-59b466bb54-kg7rb,0,inf,389230189.1147541,391176921.2510227,393695232.0,393695232.0,393695232
ingress-nginx-internal,nginx-ingress-internal-controller-645c7b5dd-6lxwp,0,inf,419970736.26229507,430300293.59549177,447123456.0,447123456.0,447123456
ingress-nginx-internal,nginx-ingress-internal-controller-645c7b5dd-bkd4t,0,inf,413911476.4590164,420212512.9103157,426385408.0,426774528.0,426774528
ingress-nginx-internal,nginx-ingress-internal-controller-645c7b5dd-bm2cb,0,inf,412583029.5081967,417410624.0710739,420122624.0,420122624.0,420122624
ingress-nginx-internal,nginx-ingress-internal-controller-645c7b5dd-rnzh9,0,inf,415208565.5081967,422149770.71428347,430514176.0,430514176.0,430514176
ingress-nginx-office,nginx-ingress-office-controller-5b88dbd756-mtx72,0,inf,263533954.09836066,264918247.55768237,265580544.0,265580544.0,265580544
kube-system,aws-node-wtqmh,0,inf,399031178.4918033,399245375.0526947,399355904.0,399355904.0,399355904
kube-system,ebs-csi-controller-55b9574fb-f9ff9,3221225472,inf,106472009.14285715,122885774.6645258,113975296.0,113975296.0,113975296
kube-system,ebs-csi-controller-55b9574fb-t8w4h,3221225472,inf,97398784.0,135671212.70769924,119623680.0,119623680.0,119623680
kube-system,ebs-csi-node-fv25v,1610612736,inf,54649906.36065574,54762859.707309134,54747136.0,54747136.0,54747136
